subjectId,qset,code_a,code_b,code_t,audio1,passage1,audio2,passage2,testaudio
40,1,1,1,1,mock1,https://shorthandexam2024.s3.ap-south-1.amazonaws.com/FinalAudio/all/T_50_4.mp3,mock2,https://shorthandexam2024.s3.ap-south-1.amazonaws.com/FinalAudio/all/T_50_4.mp3,https://hgasggsgkd.s3.ap-south-1.amazonaws.com/marathi+testing+file.m4a
41,1,1,1,1,mockmar1,https://shorthandexam2024.s3.ap-south-1.amazonaws.com/FinalAudio/all/T_50_4.mp3,mockmar2,https://shorthandexam2024.s3.ap-south-1.amazonaws.com/FinalAudio/all/T_50_4.mp3,https://hgasggsgkd.s3.ap-south-1.amazonaws.com/marathi+testing+file.m4a
42,1,1,1,1,aud1,https://hgasggsgkd.s3.ap-south-1.amazonaws.com/marathi+testing+file.m4a,aud2,https://hgasggsgkd.s3.ap-south-1.amazonaws.com/marathi+testing+file.m4a,https://hgasggsgkd.s3.ap-south-1.amazonaws.com/marathi+testing+file.m4a
50,1,5024101A,5024101B,T_50_4,5024101A,https://shorthandexam2024.s3.ap-south-1.amazonaws.com/FinalAudio/all/5024101A.mp3,5024101B,https://shorthandexam2024.s3.ap-south-1.amazonaws.com/FinalAudio/all/5024101B.mp3,https://shorthandexam2024.s3.ap-south-1.amazonaws.com/FinalAudio/all/T_50_4.mp3
50,2,5024102A,5024102B,T_50_4,5024102A,https://shorthandexam2024.s3.ap-south-1.amazonaws.com/FinalAudio/all/5024102A.mp3,5024102B,https://shorthandexam2024.s3.ap-south-1.amazonaws.com/FinalAudio/all/5024102B.mp3,https://shorthandexam2024.s3.ap-south-1.amazonaws.com/FinalAudio/all/T_50_4.mp3
50,3,5024103A,5024103B,T_50_4,5024103A,https://shorthandexam2024.s3.ap-south-1.amazonaws.com/FinalAudio/all/5024103A.mp3,5024103B,https://shorthandexam2024.s3.ap-south-1.amazonaws.com/FinalAudio/all/5024103B.mp3,https://shorthandexam2024.s3.ap-south-1.amazonaws.com/FinalAudio/all/T_50_4.mp3
50,4,5024104A,5024104B,T_50_4,5024104A,https://shorthandexam2024.s3.ap-south-1.amazonaws.com/FinalAudio/all/5024104A.mp3,5024104B,https://shorthandexam2024.s3.ap-south-1.amazonaws.com/FinalAudio/all/5024104B.mp3,https://shorthandexam2024.s3.ap-south-1.amazonaws.com/FinalAudio/all/T_50_4.mp3
50,5,5024105A,5024105B,T_50_4,5024105A,https://shorthandexam2024.s3.ap-south-1.amazonaws.com/FinalAudio/all/5024105A.mp3,5024105B,https://shorthandexam2024.s3.ap-south-1.amazonaws.com/FinalAudio/all/5024105B.mp3,https://shorthandexam2024.s3.ap-south-1.amazonaws.com/FinalAudio/all/T_50_4.mp3
50,6,5024106A,5024106B,T_50_4,5024106A,https://shorthandexam2024.s3.ap-south-1.amazonaws.com/FinalAudio/all/5024106A.mp3,5024106B,https://shorthandexam2024.s3.ap-south-1.amazonaws.com/FinalAudio/all/5024106B.mp3,https://shorthandexam2024.s3.ap-south-1.amazonaws.com/FinalAudio/all/T_50_4.mp3
50,7,5024107A,5024107B,T_50_5,5024107A,https://shorthandexam2024.s3.ap-south-1.amazonaws.com/FinalAudio/all/5024107A.mp3,5024107B,https://shorthandexam2024.s3.ap-south-1.amazonaws.com/FinalAudio/all/5024107B.mp3,https://shorthandexam2024.s3.ap-south-1.amazonaws.com/FinalAudio/all/T_50_5.mp3
50,8,5024108A,5024108B,T_50_5,5024108A,https://shorthandexam2024.s3.ap-south-1.amazonaws.com/FinalAudio/all/5024108A.mp3,5024108B,https://shorthandexam2024.s3.ap-south-1.amazonaws.com/FinalAudio/all/5024108B.mp3,https://shorthandexam2024.s3.ap-south-1.amazonaws.com/FinalAudio/all/T_50_5.mp3
51,1,5124101A,5124101B,T_51_5,5124101A,https://shorthandexam2024.s3.ap-south-1.amazonaws.com/FinalAudio/all/5124101A.mp3,5124101B,https://shorthandexam2024.s3.ap-south-1.amazonaws.com/FinalAudio/all/5124101B.mp3,https://shorthandexam2024.s3.ap-south-1.amazonaws.com/FinalAudio/all/T_51_5.mp3
