student_id,question1,question2,question3,question4,question5,question6,question7,question8,question9,question10
1051001,Average,Very Good,Average,Average,Excellent,Drinking Water,No,PC Restart,Average,dsd
2151001,Average,Excellent,Good,Very Good,Average,Drinking Water,Yes,PC Restart,Good,Exam was good.
1551001,Excellent,Excellent,Excellent,Excellent,Excellent,"Seating Arrangement, Drinking Water, Ample lights",Yes,"Power Failure, PC Hang",Excellent,fasdfadf
1251500200,Excellent,Excellent,Excellent,Excellent,Excellent,Seating Arrangement,Yes,Power Failure,Excellent,jkl
1151510060,Very Good,Excellent,Very Good,Poor,Very Good,Drinking Water,Yes,Power Failure,Excellent,hj
1151500010,Good,Good,Very Good,Very Good,Very Good,Seating Arrangement,Yes,PC Hang,Excellent,good
1151500011,Good,Very Good,Excellent,Good,Good,"Seating Arrangement, Drinking Water, Washrooms",Yes,Internet failure,Good,good
1251500197,Excellent,Excellent,Excellent,Excellent,Excellent,Seating Arrangement,Yes,"Power Failure, None of these",Excellent,Good Software
1251500211,Excellent,Excellent,Excellent,Excellent,Excellent,Seating Arrangement,Yes,None of these,Excellent,no
1251500208,Excellent,Excellent,Excellent,Excellent,Excellent,Drinking Water,Yes,None of these,Excellent,Good Software
3151001,Very Good,Excellent,Excellent,Excellent,Excellent,"Seating Arrangement, Drinking Water, Ample lights, Waiting room, Washrooms",Yes,None of these,Excellent,all
2351002,Excellent,Excellent,Excellent,Very Good,Excellent,"Seating Arrangement, Drinking Water, Ample lights, Waiting room, Washrooms",Yes,None of these,Excellent,all
1151610179,Excellent,Excellent,Excellent,Excellent,Excellent,Seating Arrangement,Yes,Power Failure,Excellent,jjkhkkjhk
1151610180,Excellent,Excellent,Excellent,Excellent,Excellent,Seating Arrangement,Yes,Power Failure,Excellent,lkjlj
1151600146,Excellent,Excellent,Excellent,Excellent,Very Good,Seating Arrangement,Yes,Power Failure,Excellent,jhjhk
4151502477,Very Good,Good,Very Good,Excellent,Very Good,"Seating Arrangement, Waiting room",Yes,Power Failure,Excellent,"mhj,gfi"
4151502486,Very Good,Excellent,Good,Excellent,Excellent,Seating Arrangement,Yes,Power Failure,Very Good,gh
4151502483,Good,Good,Good,Good,Good,Waiting room,No,PC Hang,Very Good,bg
7251606487,Good,Very Good,Very Good,Excellent,Good,"Seating Arrangement, Drinking Water, Ample lights, Waiting room, Washrooms",Yes,None of these,Excellent,Nothing
3152602118,Average,Average,Excellent,Excellent,Excellent,Seating Arrangement,No,None of these,Very Good,i will do better next time
3151601982,Excellent,Very Good,Very Good,Excellent,Good,"Seating Arrangement, Drinking Water, Ample lights, Waiting room, Washrooms",Yes,None of these,Excellent,good
1351600415,Excellent,Poor,Excellent,Excellent,Poor,"Seating Arrangement, Drinking Water, Ample lights, Waiting room, Washrooms",Yes,None of these,Excellent,nil
8351607210,Average,Good,Good,Very Good,Poor,Seating Arrangement,No,None of these,Very Good,no
1151500123,Very Good,Excellent,Very Good,Very Good,Very Good,"Seating Arrangement, Drinking Water, Ample lights, Waiting room, Washrooms",Yes,None of these,Very Good,Not necessary. Keep maintain the facilities
7651606723,Good,Good,Good,Good,Poor,"Seating Arrangement, Washrooms",Yes,None of these,Good,nothing
6251605562,Average,Good,Good,Very Good,Good,"Seating Arrangement, Drinking Water, Ample lights",No,None of these,Average,No
5151603989,Good,Excellent,Excellent,Excellent,Good,"Seating Arrangement, Drinking Water, Ample lights, Waiting room, Washrooms",No,None of these,Excellent,Nothing
5151603992,Excellent,Excellent,Excellent,Excellent,Excellent,"Seating Arrangement, Drinking Water, Ample lights, Waiting room, Washrooms",Yes,None of these,Excellent,No
5151603991,Excellent,Excellent,Excellent,Excellent,Excellent,"Seating Arrangement, Drinking Water, Ample lights, Waiting room, Washrooms",Yes,None of these,Excellent,no
8351607211,Poor,Good,Good,Good,Poor,Seating Arrangement,Yes,None of these,Good,no
1151500140,Very Good,Very Good,Very Good,Excellent,Very Good,"Seating Arrangement, Drinking Water, Ample lights, Waiting room, Washrooms",Yes,None of these,Excellent,Very helpful
6251605567,Excellent,Excellent,Excellent,Excellent,Excellent,"Seating Arrangement, Drinking Water",Yes,None of these,Average,"I humblu request you that , please give us near by center . I travelled 100 km to reach center and now 100 to return."
1651500861,Good,Very Good,Very Good,Excellent,Good,"Seating Arrangement, Drinking Water, Ample lights, Waiting room, Washrooms",Yes,Internet failure,Excellent,None
3151601973,Average,Very Good,Very Good,Very Good,Good,Seating Arrangement,Yes,None of these,Very Good,No
3151601987,Excellent,Excellent,Excellent,Excellent,Excellent,"Seating Arrangement, Drinking Water, Ample lights, Waiting room, Washrooms",Yes,None of these,Excellent,This was the first time exam conducted by our pariksha parishad and it was excellent.  This system should follow in continuous form to get the proper stenographers in future.
2151601061,Good,Very Good,Very Good,Very Good,Good,"Seating Arrangement, Drinking Water, Ample lights, Waiting room, Washrooms",Yes,None of these,Very Good,no
1651500864,Good,Good,Good,Very Good,Good,Seating Arrangement,Yes,None of these,Excellent,No
4351603637,Good,Excellent,Very Good,Excellent,Very Good,"Seating Arrangement, Drinking Water, Ample lights, Waiting room, Washrooms",No,"PC Hang, None of these",Excellent,all good every thing was fine at exam center just fix your server proble thats it
8351607229,Average,Good,Very Good,Excellent,Good,"Seating Arrangement, Drinking Water, Washrooms",Yes,None of these,Good,No
1651500866,Average,Very Good,Very Good,Good,Average,Seating Arrangement,Yes,None of these,Very Good,No. Everything was good.
5151603988,Excellent,Excellent,Excellent,Excellent,Excellent,"Seating Arrangement, Drinking Water, Ample lights, Waiting room, Washrooms",Yes,None of these,Excellent,no
1651500865,Excellent,Excellent,Excellent,Excellent,Excellent,"Seating Arrangement, Drinking Water, Ample lights, Waiting room, Washrooms",Yes,None of these,Excellent,none
6251605571,Excellent,Excellent,Excellent,Excellent,Excellent,"Seating Arrangement, Drinking Water, Ample lights, Waiting room, Washrooms",Yes,None of these,Excellent,no
1151500135,Very Good,Excellent,Excellent,Excellent,Excellent,"Seating Arrangement, Ample lights, Washrooms",Yes,None of these,Excellent,the voice of the speaker was not very clear. accent was not very clear
3351602433,Very Good,Very Good,Very Good,Excellent,Very Good,Seating Arrangement,Yes,None of these,Excellent,very nice staff and good exam
3151601974,Excellent,Excellent,Excellent,Excellent,Excellent,"Seating Arrangement, Drinking Water, Ample lights",Yes,None of these,Excellent,nil
1651500858,Poor,Average,Good,Excellent,Poor,Ample lights,Yes,None of these,Excellent,Excellent
8151606867,Average,Good,Good,Good,Average,Drinking Water,No,None of these,Good,GOOD IMPROVEMENTS...
1351600417,Very Good,Very Good,Very Good,Very Good,Good,"Seating Arrangement, Ample lights, Waiting room, Washrooms",Yes,None of these,Good,not open centre reporting time students waiting 30 minutes staff late coming 30 minutes
5251604545,Excellent,Excellent,Excellent,Excellent,Excellent,"Seating Arrangement, Drinking Water, Ample lights, Waiting room, Washrooms",Yes,None of these,Excellent,yes all ok but I took special supplement for b passage .
8151606862,Good,Good,Good,Good,Good,"Seating Arrangement, Ample lights, Waiting room, Washrooms",Yes,None of these,Good,headphone are provide by examer but this is not included in hollticket.
1651500854,Good,Good,Good,Good,Good,"Seating Arrangement, Drinking Water, Ample lights, Waiting room, Washrooms",Yes,None of these,Good,None
1651500863,Good,Very Good,Good,Good,Average,Seating Arrangement,Yes,None of these,Good,good staff
8151606878,Average,Good,Good,Good,Average,Waiting room,Yes,None of these,Average,No
1651500860,Very Good,Excellent,Excellent,Good,Very Good,"Seating Arrangement, Drinking Water, Ample lights, Washrooms",Yes,None of these,Excellent,no
3151601975,Excellent,Excellent,Excellent,Excellent,Excellent,"Seating Arrangement, Drinking Water, Ample lights, Waiting room, Washrooms",Yes,None of these,Excellent,no
3351602426,Average,Good,Very Good,Very Good,Good,Waiting room,Yes,None of these,Good,All have very good in this exam.
1651500862,Good,Excellent,Very Good,Good,Good,"Seating Arrangement, Ample lights, Washrooms",No,None of these,Good,none
1651500851,Excellent,Excellent,Excellent,Excellent,Excellent,Seating Arrangement,Yes,Power Failure,Excellent,okay
5152604367,Excellent,Excellent,Excellent,Excellent,Excellent,Seating Arrangement,Yes,Power Failure,Excellent,i am not prepared for exam
3351602432,Good,Good,Good,Good,Good,Seating Arrangement,Yes,None of these,Good,nothing
1651500856,Very Good,Very Good,Very Good,Good,Good,"Seating Arrangement, Drinking Water, Ample lights, Waiting room, Washrooms",Yes,None of these,Very Good,None
1651500852,Excellent,Excellent,Excellent,Very Good,Very Good,"Seating Arrangement, Drinking Water, Ample lights, Waiting room, Washrooms",Yes,None of these,Excellent,ok
1651500853,Good,Very Good,Good,Very Good,Average,Seating Arrangement,Yes,None of these,Very Good,.
1151600149,Excellent,Excellent,Excellent,Excellent,Excellent,"Seating Arrangement, Drinking Water, Ample lights, Waiting room, Washrooms",Yes,None of these,Excellent,no
1651500850,Good,Very Good,Very Good,Very Good,Very Good,"Seating Arrangement, Drinking Water, Ample lights, Waiting room, Washrooms",No,None of these,Very Good,no
8151606869,Good,Very Good,Very Good,Very Good,Very Good,Drinking Water,Yes,None of these,Good,ok
6552605966,Excellent,Excellent,Excellent,Excellent,Excellent,"Seating Arrangement, Drinking Water, Ample lights, Waiting room, Washrooms",Yes,None of these,Excellent,no
3351602434,Good,Very Good,Very Good,Very Good,Excellent,Drinking Water,Yes,None of these,Very Good,NO
3151601995,Very Good,Excellent,Excellent,Excellent,Very Good,Seating Arrangement,Yes,None of these,Excellent,keep working like this
4351603640,Excellent,Excellent,Excellent,Excellent,Excellent,"Seating Arrangement, Drinking Water, Ample lights",Yes,None of these,Excellent,no
1651500867,Good,Very Good,Good,Good,Good,"Seating Arrangement, Drinking Water, Ample lights, Waiting room, Washrooms",Yes,None of these,Very Good,none
4251603168,Excellent,Excellent,Excellent,Excellent,Excellent,"Seating Arrangement, Drinking Water, Ample lights, Waiting room, Washrooms",Yes,None of these,Excellent,No everything excellent
5251604546,Excellent,Excellent,Excellent,Excellent,Excellent,"Drinking Water, Ample lights, Waiting room",Yes,Internet failure,Excellent,sitting arrangements is not good in classroom
4351603666,Excellent,Excellent,Excellent,Excellent,Excellent,"Seating Arrangement, Ample lights, Washrooms",Yes,"Internet failure, Software lagging, PC Restart",Excellent,when we typing and by mistake window button click then exam session auto sumitted before time
1151500142,Excellent,Excellent,Excellent,Excellent,Excellent,Seating Arrangement,Yes,None of these,Excellent,no
3151601992,Very Good,Good,Very Good,Excellent,Excellent,"Seating Arrangement, Ample lights, Washrooms",Yes,None of these,Very Good,no need
6552605973,Excellent,Excellent,Excellent,Excellent,Excellent,"Seating Arrangement, Drinking Water, Ample lights, Waiting room, Washrooms",Yes,None of these,Excellent,no
5251604540,Good,Good,Very Good,Very Good,Average,Seating Arrangement,No,None of these,Good,All Ok
5251604539,Very Good,Very Good,Very Good,Very Good,Very Good,Seating Arrangement,Yes,Power Failure,Very Good,all good
2151601092,Good,Very Good,Very Good,Very Good,Good,"Seating Arrangement, Washrooms",No,None of these,Good,NO
5251604538,Good,Excellent,Good,Very Good,Very Good,"Seating Arrangement, Drinking Water, Ample lights, Waiting room, Washrooms",Yes,None of these,Very Good,None
3351602427,Very Good,Excellent,Excellent,Very Good,Excellent,Seating Arrangement,No,None of these,Excellent,NO
2151601104,Very Good,Very Good,Very Good,Very Good,Very Good,Drinking Water,Yes,None of these,Good,no
3151601997,Good,Good,Good,Good,Good,"Seating Arrangement, Washrooms",No,None of these,Good,no
3351602435,Good,Good,Good,Good,Good,Seating Arrangement,Yes,None of these,Good,no
3351602437,Very Good,Very Good,Very Good,Very Good,Good,"Seating Arrangement, Drinking Water, Ample lights, Washrooms",Yes,None of these,Very Good,None
4251603163,Good,Good,Good,Good,Good,Ample lights,Yes,None of these,Very Good,NO
3351602425,Good,Good,Very Good,Excellent,Good,Drinking Water,Yes,None of these,Good,No suggestion
4351603648,Excellent,Excellent,Excellent,Excellent,Excellent,"Seating Arrangement, Drinking Water, Ample lights, Waiting room, Washrooms",Yes,None of these,Excellent,good
3351602436,Very Good,Very Good,Very Good,Excellent,Good,Seating Arrangement,Yes,None of these,Very Good,no
8151606856,Good,Good,Good,Good,Good,Seating Arrangement,Yes,"PC Hang, Software lagging",Good,good
