id,center,ip_address,disk_id,mac_address
1,1051,192.168.6.212,0000_0000_0000_0000_0000_0100_0000_0000.,380025E0CBCB
2,1051,172.20.10.5,WKP2C8PX,D0ABD5A50A23
3,5351,192.168.1.19,DH20230813975201,64006A96F628
4,5351,192.168.1.47,Z3TFFFKS,FC4DD4328EC3
5,5351,192.168.1.41,Z3TDNWEA,FC4DD42F871E
6,5351,192.168.1.30,5,4437E6A741F6
7,5351,192.168.1.46,WD-WCC2EMJ08642,FC4DD42F88DC
8,5351,192.168.1.44,5,FC4DD4324486
9,5351,192.168.1.27,Z3TFELMT,FC4DD4328F77
10,5351,192.168.1.20,5,4437E6BB8D1A
11,5351,192.168.1.22,S2ACA2AW,FC4DD42F85A9
12,5351,192.168.1.71,S2ACA04W,FC4DD42F850A
13,4151,10.10.11.26,DWS2306P128F3434,3464A92A0703
14,5351,192.168.1.51,Z3TFEM80,FC4DD4328F3E
15,5351,192.168.1.24,Z3TDK0ER,FC4DD42F887B
16,5351,192.168.1.66,S2AC9ZCN,FC4DD42F854C
17,4151,10.10.11.33,AA000000000000002724,3464A929FF70
18,3251,192.168.2.201,185103A0062F,8C89A5288D0D
19,5351,192.168.1.25,Z3TDPJ99,FC4DD42F88E1
20,3251,192.168.2.111,2204V8522c501923,8C89A52C269A
21,4151,10.10.11.36,2023041311209,3464A92A0675
22,4151,10.10.11.32,9VMK3EK1,3464A929FF38
23,3251,192.168.2.103,ES1JU052346063,8C89A515A09E
24,4351,10.10.2.140,6479_A76C_90C0_0E93.,8CEC4B5D74B5
25,3251,192.168.2.108,2204V8522c501018,8C89A52C288E
26,4151,10.10.11.37,2023041370144,3464A929FF21
27,4351,10.10.2.106,6479_A76C_90C0_1025.,8CEC4B5D5AA3
28,3251,192.168.2.107,2204V8522c500881,8C89A5159D84
29,4151,10.10.13.10,2023041300168,3464A929FF93
30,4351,10.10.2.211,6479_A76C_90C0_0EB2.,8CEC4B5B1B07
31,4351,10.10.2.186,6479_A76C_90C0_0E94.,8CEC4B5C3235
32,4351,10.10.2.117,Z9AQTLEY,8CEC4B5D74BA
33,4151,10.10.11.44,AA000000000000001468,3464A929FF2C
34,3251,192.168.2.102,2204V8522c502000,8C89A5159E2D
35,4151,10.10.11.56,AA000000000000005101,3464A92A01AE
36,4151,10.10.11.29,DWS2306P128F5880,3464A90B8D5A
37,4351,10.10.2.157,6479_A76C_90C0_0EB0.,8CEC4B5B14DC
38,4351,10.10.2.152,6479_A76C_90C0_0D6B.,8CEC4B5D53EF
39,4351,10.10.2.116,6479_A76C_90C0_1015.,8CEC4B5B15DF
40,4351,10.10.2.119,6479_A76C_90C0_0E9B.,8CEC4B5D711C
41,4151,10.10.12.55,2023082301850,00E04CCC00F9
42,5251,192.168.3.181,WD-WCC6Y5TV0C79,A4AE12F77D58
43,4351,10.10.2.234,6479_A76C_90C0_102A.,8CEC4B5C350C
44,4351,10.10.2.105,6479_A76C_90C0_0D65.,8CEC4B5D7413
45,4351,10.10.2.151,6479_A76C_90C0_1023.,8CEC4B5D74C9
46,4351,10.10.2.160,6479_A76C_90C0_1007.,8CEC4B5D53C8
47,4151,10.10.11.53,9RX5SBYX,3464A929FEBF
48,4151,10.10.13.18,6RX9CTFH,3464A9163339
49,4351,10.10.2.184,6479_A76C_90C0_0EAB.,8CEC4B5D741B
50,4351,10.10.2.164,6479_A76C_90C0_1024.,8CEC4B5D74CF
51,5251,192.168.3.182,W9APJ8PC,A4AE12F934D1
52,4351,10.10.2.167,6479_A76C_90C0_0D7F.,8CEC4B5D74C0
53,3251,192.168.2.103,2204V8522c501018,8C89A5159A73
54,5251,192.168.3.183,WD-WCC6Y1ZK4XCP,1CA0B878591D
55,4351,10.10.2.135,Z9AQVXG9,8CEC4B5D6FC4
56,4351,10.10.2.174,6479_A76C_90C0_1002.,8CEC4B5D6FC6
57,4151,10.10.14.52,9LS2CHHL,3464A929FF0C
58,4351,10.10.2.121,6479_A76C_90C0_0FFD.,8CEC4B5D74C4
59,4151,10.10.11.19,9VY4TDA9,F4CE4630DEE0
60,4151,10.10.13.20,WD-WCAV38616058,3464A929F764
61,4351,10.10.2.115,6479_A76C_90C0_0EB6.,8CEC4B5C3234
62,4351,10.10.2.163,6479_A76C_90C0_100F.,8CEC4B5B17DF
63,4351,10.10.2.102,6479_A76C_90C0_1003.,8CEC4B5D53E0
64,5251,192.168.3.184,WD-WCC6Y5JK64K2,1CA0B8785A06
