subject_id,Q1PA,Q1PB,Q2PA,Q2PB,Q3PA,Q3PB,Q4PA,Q4PB
50,"a,an,the","a,an,the","a,an,the","a,an,the","a,an,the","a,an,the","a,an,the","a,an,the"
51,"a,an,the","a,an,the","a,an,the","a,an,the","a,an,the","a,an,the","a,an,the","a,an,the"
52,"a,an,the","a,an,the","a,an,the","a,an,the","a,an,the","a,an,the","a,an,the","a,an,the"
53,"a,an,the","a,an,the","a,an,the","a,an,the","a,an,the","a,an,the","a,an,the","a,an,the"
54,"a,an,the","a,an,the","a,an,the","a,an,the","a,an,the","a,an,the","a,an,the","a,an,the"
55,"a,an,the","a,an,the","a,an,the","a,an,the","a,an,the","a,an,the","a,an,the","a,an,the"
56,"a,an,the","a,an,the","a,an,the","a,an,the","a,an,the","a,an,the","a,an,the","a,an,the"
57,"a,an,the","a,an,the","a,an,the","a,an,the","a,an,the","a,an,the","a,an,the","a,an,the"
60,"पुढील, पूढील, पुढिल, पूढिल, जहिरात, जाहीरात, मोहिम, मोहीम, ठरविले, ठरवले, आम्हांस, आम्हास, पूर्वीच्याच, पूर्वीच्या, सहाय्य, साहाय्य, आपणांस, आपणास, की, कि, वेळची, वेळेची, अर्थात, अर्थातच, पुष्कळ, पूष्कळ, आवश्यक, अवश्यक, अवश्य, या, याच, राज्यात, राज्यातही, राज्यांत, राज्यांतही, जरुरी, जरुरीचे, वृत्तपत्रीय, वृत्तपत्राच्या, चित्रफीत, चित्रफित, योजनेस, योजनेचा, मंडळाची, मंडळाचा, मंडळाचे, मडळाचा, मडळाची, मडळाचे, मंजुरी, मंजूरी, मंजूर, केल्यानंतर, केल्यावर, सस्थेच्या, सस्थेचा, सस्थेची, सस्थेचे, ५, पाच, 5, २०२४, 2024, दोन, हजार, चोवीस, चोविस, विनिमयासाठी, वीनिमयासाठी, वीनीमयासाठी, , विनीमयासाठी, प्रतिनिधी, प्रतिनिधीस, प्रतिनिधिस, प्रतीनिधीस, प्रतीनीधीस, २०१०, 2010, दोन, हजार, दहा, विकाऊ, विकत, खूप, खूपच, खुप, विक्री, विक्रीही, वीक्री, वीक्रीही, अपेक्षितरित्या, अपेक्षितरीत्या, रित्या, रीत्या ","दिवसांमध्ये, दिवसामध्ये, दिवसात, दिवसांत, नियोजनावर, नियोजनावरील, ऐकल्या, केल्या, विषय, विषयच, विषयचा, विषयचे, विषयची, कंटाळवाणी, कंटाळवानी, माणसाने, मानसाने, माणसानी, मानसानी, तसा, तसाच, प्रश्न, प्रश्नही, यांतून, याजून, यात, यांत, पूर्णतया, पूर्ण, पूर्णपणे, पूर्णत:, मनाशी, मनाशीस, नियोजनाचा, नियोजनाची, नियोजनाच्या, विशेषत:, विशेषता, देशातील, देशाच्या, देशात, तपशीलाच्या, तपशिलाच्या, तपशीलाची, तपशिलाची, तपशीलाचे, तपशिलाचे, फारसा, फार, प्रश्नाची, प्रश्नांची, प्रश्नात, प्रश्नांत, त्याच्या, त्या, मूलभूत, मुलभूत, मुलभुत, मूलभुत, तत्त्वे, तत्वे, करीत, असतो, करतो, प्रयत्नांमधून, प्रयत्नामधून, प्रयत्नांतून, प्रयत्नातुन, सर्व, सामान्य, सर्व, साधारण, माणसांना, मानसांला, मानसाला, मिळेल, मिळावा, मिळतो, याची, याचीही, त्याची, त्याचीही, महत्वाचे, महत्त्वाचे, महत्त्व, महत्व, महत्चाचा, महत्त्वाचा, महत्त्वचा, महत्वचा, महत्वाची, महत्त्वाची, महत्त्वची, महत्वची","प्रिय, प्रीय, आमची, आमच्या, आमचे, स्थापन, स्थापना, असलेल्या, असलेली, असलेले, मालाची, मालाचे, मालाच्या, जाहिरात, जाहीरात, जहिरात, जहीरात, जाहिरातीचे, जाहिरातीचा, जाहिरातीच्या, , करण्याचे, करण्याची, सोपविले, सोपवले, अनुकूल, अनूकुल, अनुकुल, अनूकूल, परिणाम, परीणाम, एजन्सीसाठी, एजन्सिसाठी, आमच्याकडे, आमचेकडे, ठिकाणांहून, ठिकाणाहून, पत्रे, पत्र, आला, आली, आले, संस्थेच्या, संस्थेचे, संस्थेची, खूपच, खुपच, मिळाला, मिळाले, मिळाली, नमुद, नमूद, करण्यास, करण्याला, आम्हांस, आम्हास, आम्हाला, अतिशय, अतीशय, वाटतो, वाटते, वर्षातील, वर्षातले, राज्यात, राज्यातून, राज्यातील, मंडळीचा, मंडळीची, मंडळीचे, फारच, फार, झाला, झाली, झाले, ठीकठिकाणच्या, ठिकठिकाणी, मालाचे, मालाची, मालाच्या, पडले, पडली, पडल्या, आहेत, आहे, त्यातील, त्यातले, इतका, इतके, इतकी, प्रतीचा, प्रतीचे, प्रतीच्या, की, कि, कोणत्याही, कोणतेही, कोणताही, विणकरांच्या, ‍विणकरांचे, धंद्याला, धद्यात, धंद्याचे, किंमतीस, किमतिस, किमतीला, किमतीने, करण्याचे, करण्याची, करण्याच्या, तसूभरही, तसूभर, तसूभरसुध्दा, विणकरांकडून, ‍विणकरांचा, विणकरांकडुन, संस्थेजवळ, संस्थेचा, आमच्याकरिता, आमच्यासाठी, आमच्याकरीता, तितका, तितक्या, प्रतीचा, प्रतिचा, ठेवून, ठेवुन, ठेऊन, घेण्याचे, घेण्याचा, घेण्याचेच, 1950, १९५०, एकोणीसशे, पन्नास","शेळीला, शेळीस, म्हणून, म्हणुन, अर्थिक, आर्थिक, आर्थीक, देणारा, देणारि, देणारे, पशू, पशु, तालुक्यातील, तालूक्यातील, महीलांचे, महिलांचे, शेळीच्या, शेळीचे, शेळीची, अवतीभोवती, आवतीभोवती, आवतीभवती, अवतीभवती, मुद्दा, मूद्दा, युवा, यूवा, महिलांसाठी, महिलासाठी, कार्यक्षेत्रातील, कार्यक्षेत्रातल्या, समूह, समुह, त्यांच्यामध्ये, त्याच्यामध्ये, रुजविला, रुज‍विले, सुरुवात, सूरुवात, कामाला, कामास, मिळविण्यासाठी, मिळविणेसाठी, युवा, यूवा, संस्थेने, संस्थेनी, संस्थांना, मदतीचा, मदतीचे, केला, केली, केले, रुपयांची, रुपयाचे, रूपयांची, रूपयाचे, सभासदाला, सभासदास, महिलांनी, महीलांनी, तसेच, तसाच, गोठ्याची, गोठ्याचे, गोठ्याच्या, रुपयांची, रुपयांचे, दिलेले, दिलेंली, दिलेल्या, महिन्यांनंतर, महिन्यानंतर, वर्षाच्या, वर्षीच्या, वर्षाचे, यातूनच, यातुनच, सुरु, सूरु, आहेत, आहे, आहेस, कुटुंबामध्ये, कुटूंबामध्ये, कुटूंबामध्ये, पुरुषांच्या, पुरुषाच्या, पूरुषांच्या, कृषि, कृशि, पूरक, पुरक, नवीन, नवीण, व्यवसायाला, व्यवसायाचे, शिन्नर, सिन्नर, जीवनात, जिवनात, जिवणात, २०१५-१६, 2015-2016, दोन, हजार, पंधरा, सोळा, ५, पाच, 5, १२, बारा, 12, 10, दहा, १०","व्यक्ती, व्यक्ति, सामान्यत:, सामान्यता, व्यक्तीविषयी, व्यक्तिविषयी, कृती, कृति, कृतीविषयी, कृतिविषयी, असतात, असताता, असताती, असताते, त्यामुळे, यामुळे, त्यांच्याशी, त्यांच्याबरोबर, आपणांस, आपणास, प्रथम, प्रथमे, प्रमुख, यातून, त्यातून, तसे, तसेच, ग्रहणक्षमता, ग्रहण-क्षमता, कौशल्ये, कौशल्येही, शिक्षकांस, शिक्षकास, शिक्षकांना, शिक्षकाना, वापरावयाची, वापरायची, वापरावयाचा, वापरायचा, वापरावयाचे, वापरायचे, द्याव्यात, द्याव्या, व्यक्तीला, व्यक्तीस, असल्याने, असल्यामुळे, भिंतीच्या, जवळ, भिंतीजवळ, तिला, त्यानी, रितीने, रीतीने, रितिने, वा, किंवा, उदा, उदाहरणार्थ, पाऊले, पावले, पाउले, चिटकून, चिकटून, शिकविण्याची, शिकण्याची, सुरवात, सुरुवात, बेठ्या, बैठ्या, खेळातून, खेळांतून, निवडावेत, निवडावे, घ्यावेत, घ्यावे, खेळावेत, वेळेस, वेळेत, वेळेला, अशांच्या, अशाचा, गटापासून, गटातून, राहावयस, रहावयास, राहावयाला, रहावयाला, राहायला, रहायला, हवे, हवेत","यंत्रणेबद्दल, यंत्रणेचा, पातळीर्यत, पातळीवर, करावयास, करायला, वर्गातले, वर्गातील, पगार, पगारही, त्याच्यावर, त्याच्यावरच, त्यांच्यावर, त्यांच्यावरच, म्हणून, म्हणूनच, केंद्रीत, केंद्र, केंद्रित, त्यांच्यासाठी, त्यांच्याकरिता, गृहबांधणी, घरबांधणी, प्रयत्नशील, प्रयत्नात, बाबतीत, बाबतीतही, यायला, घ्यावयाला, घ्यावयास, हव्या, हव्यात, होणार, होणारच, मूलभूत, मुलभूत, मुलभुत, मूलभुत, भागविता, भागवता, याव्या, याव्यात, त्यासाठी, त्याकरिता, त्याकरीता, त्याकरता, करुन, करून, सर्व, सर्वच, चुकीचे, चुक, संपूर्ण, संपुर्ण, सम्पुर्ण, तसे, तसेच, तसेही, यंत्रणेत, यंत्रणेतही, पाच, दहा, ५, १०, 5, 10, अधिकाऱ्यात, अधिकाऱ्यातही, अधिकाऱ्यांत, अधिकाऱ्यांतही, काही, काहीही, नेहमी, नेहमीच","संपली, संपल्या, कॉलेजला, कॉलेजांना, सुही, सुह्या, लागली, लागल्‍या, कि, की, वाचनाचा, वाचनाचे, गावातील, गावातल्या, सुरु, सुरू, सुरुवात, सुरूवात, सुटी, सुट्टी, चुटपुट, चूटपूट, चुटपूट, चूटपुट, लागत, असे, लागे, लागते, विद्यार्थ्यांना, विद्यार्थ्यांला, विद्यार्थ्याना, विद्यार्थ्याला, परिक्षा, परीक्षा, कॅसेट, कॅसेटस, कॅसेटस, आज, आजही, दिसतात, दिसतातच, दूरदर्शन, दुरदर्शन, व्हिडीओ, व्हीडीओ, व्हीडिओ, व्हिडिओ, कारणीभूत, कारणीभुत, कारण, म्हणजे, म्हणजेच, मिळवणे, मिळ‍विणे, पचवणे, पचविणे, त्यांतील, त्यातील, पाहतांना, पाहताना, नाही, नाहीत, विषयावर, विषयांवर, कुणी, कोणी, करीत, करीतच, घ्यावे, घ्यावेत, प्रथमत:, प्रथमता, वडिल, वडीलाच, वडिलधारी, वडीलधांरी, वडीलधारी, वडिलधारी, माहित, माहीत, मूल, मुल, धरणार, धरणारच, करुन, करून, महत्त्वाचे, महत्वाचे, महत्त्वाचा, महत्त्वाची, महत्वाचा, महत्वाची, महत्वाचे, सुरुवातीस, सुरुवातीला, सुरुवातीस, सुरुवात, सुरुवतीत, सुरूवात, सुरूवातीस, सुरूवातीला","साहीत्य, साहित्य, परंपरेला, परंपरेस, दिडशे, १५०, 150, वर्ष, वर्षे, आहे, आहेत, संमेलन, सम्मेलन, संमेलनही, सम्मेलनही, भाषेत, भाषांत, भाषात, वा, किंवा, कृतिशीलतेने, नविनतेल, नाविण्यतेत, नाविण्यतेत, या, याच, पोसल्या, पोहोचल्या, भक्ती, भक्ति, सोबत, सोबतच, आध्यात्मिक, आध्यात्म, घडविला, घडवला, घडला, बसवायचे, बसवावयांचे, दाखविल्या, दाखवल्या, तीच, ती, तिच, चालवित, चालवत, चलवीत, व्यावहरीक, व्यावहारिक, संसारिक, सांसरिक, सांसारिक, सांसारीक, शाहिरी, शाहीरी, एकाच, एका, वेळी, वेळेस, वीररस, विररस, लौकिक, लौकीक, अनुभवांना, अनुभव, कित्ता, किता, कीत्ता, परंपरेतूनच, परंपरेतून, परंपरेतुन, पंरपरेतुनच, नाविन्या, नावीन्य, नाविण्य, नावीण्य, शाधायची, शोधायचे, डावं, उजवं, डावे, उजवे, डावेउजवे"
61,"पुढील, पूढील, पुढिल, पूढिल, जहिरात, जाहीरात, मोहिम, मोहीम, ठरविले, ठरवले, आम्हांस, आम्हास, पूर्वीच्याच, पूर्वीच्या, सहाय्य, साहाय्य, आपणांस, आपणास, की, कि, वेळची, वेळेची, अर्थात, अर्थातच, पुष्कळ, पूष्कळ, आवश्यक, अवश्यक, अवश्य, या, याच, राज्यात, राज्यातही, राज्यांत, राज्यांतही, जरुरी, जरुरीचे, वृत्तपत्रीय, वृत्तपत्राच्या, चित्रफीत, चित्रफित, योजनेस, योजनेचा, मंडळाची, मंडळाचा, मंडळाचे, मडळाचा, मडळाची, मडळाचे, मंजुरी, मंजूरी, मंजूर, केल्यानंतर, केल्यावर, सस्थेच्या, सस्थेचा, सस्थेची, सस्थेचे, ५, पाच, 5, २०२४, 2024, दोन, हजार, चोवीस, चोविस, विनिमयासाठी, वीनिमयासाठी, वीनीमयासाठी, , विनीमयासाठी, प्रतिनिधी, प्रतिनिधीस, प्रतिनिधिस, प्रतीनिधीस, प्रतीनीधीस, २०१०, 2010, दोन, हजार, दहा, विकाऊ, विकत, खूप, खूपच, खुप, विक्री, विक्रीही, वीक्री, वीक्रीही, अपेक्षितरित्या, अपेक्षितरीत्या, रित्या, रीत्या ","दिवसांमध्ये, दिवसामध्ये, दिवसात, दिवसांत, नियोजनावर, नियोजनावरील, ऐकल्या, केल्या, विषय, विषयच, विषयचा, विषयचे, विषयची, कंटाळवाणी, कंटाळवानी, माणसाने, मानसाने, माणसानी, मानसानी, तसा, तसाच, प्रश्न, प्रश्नही, यांतून, याजून, यात, यांत, पूर्णतया, पूर्ण, पूर्णपणे, पूर्णत:, मनाशी, मनाशीस, नियोजनाचा, नियोजनाची, नियोजनाच्या, विशेषत:, विशेषता, देशातील, देशाच्या, देशात, तपशीलाच्या, तपशिलाच्या, तपशीलाची, तपशिलाची, तपशीलाचे, तपशिलाचे, फारसा, फार, प्रश्नाची, प्रश्नांची, प्रश्नात, प्रश्नांत, त्याच्या, त्या, मूलभूत, मुलभूत, मुलभुत, मूलभुत, तत्त्वे, तत्वे, करीत, असतो, करतो, प्रयत्नांमधून, प्रयत्नामधून, प्रयत्नांतून, प्रयत्नातुन, सर्व, सामान्य, सर्व, साधारण, माणसांना, मानसांला, मानसाला, मिळेल, मिळावा, मिळतो, याची, याचीही, त्याची, त्याचीही, महत्वाचे, महत्त्वाचे, महत्त्व, महत्व, महत्चाचा, महत्त्वाचा, महत्त्वचा, महत्वचा, महत्वाची, महत्त्वाची, महत्त्वची, महत्वची","प्रिय, प्रीय, आमची, आमच्या, आमचे, स्थापन, स्थापना, असलेल्या, असलेली, असलेले, मालाची, मालाचे, मालाच्या, जाहिरात, जाहीरात, जहिरात, जहीरात, जाहिरातीचे, जाहिरातीचा, जाहिरातीच्या, , करण्याचे, करण्याची, सोपविले, सोपवले, अनुकूल, अनूकुल, अनुकुल, अनूकूल, परिणाम, परीणाम, एजन्सीसाठी, एजन्सिसाठी, आमच्याकडे, आमचेकडे, ठिकाणांहून, ठिकाणाहून, पत्रे, पत्र, आला, आली, आले, संस्थेच्या, संस्थेचे, संस्थेची, खूपच, खुपच, मिळाला, मिळाले, मिळाली, नमुद, नमूद, करण्यास, करण्याला, आम्हांस, आम्हास, आम्हाला, अतिशय, अतीशय, वाटतो, वाटते, वर्षातील, वर्षातले, राज्यात, राज्यातून, राज्यातील, मंडळीचा, मंडळीची, मंडळीचे, फारच, फार, झाला, झाली, झाले, ठीकठिकाणच्या, ठिकठिकाणी, मालाचे, मालाची, मालाच्या, पडले, पडली, पडल्या, आहेत, आहे, त्यातील, त्यातले, इतका, इतके, इतकी, प्रतीचा, प्रतीचे, प्रतीच्या, की, कि, कोणत्याही, कोणतेही, कोणताही, विणकरांच्या, ‍विणकरांचे, धंद्याला, धद्यात, धंद्याचे, किंमतीस, किमतिस, किमतीला, किमतीने, करण्याचे, करण्याची, करण्याच्या, तसूभरही, तसूभर, तसूभरसुध्दा, विणकरांकडून, ‍विणकरांचा, विणकरांकडुन, संस्थेजवळ, संस्थेचा, आमच्याकरिता, आमच्यासाठी, आमच्याकरीता, तितका, तितक्या, प्रतीचा, प्रतिचा, ठेवून, ठेवुन, ठेऊन, घेण्याचे, घेण्याचा, घेण्याचेच, 1950, १९५०, एकोणीसशे, पन्नास","शेळीला, शेळीस, म्हणून, म्हणुन, अर्थिक, आर्थिक, आर्थीक, देणारा, देणारि, देणारे, पशू, पशु, तालुक्यातील, तालूक्यातील, महीलांचे, महिलांचे, शेळीच्या, शेळीचे, शेळीची, अवतीभोवती, आवतीभोवती, आवतीभवती, अवतीभवती, मुद्दा, मूद्दा, युवा, यूवा, महिलांसाठी, महिलासाठी, कार्यक्षेत्रातील, कार्यक्षेत्रातल्या, समूह, समुह, त्यांच्यामध्ये, त्याच्यामध्ये, रुजविला, रुज‍विले, सुरुवात, सूरुवात, कामाला, कामास, मिळविण्यासाठी, मिळविणेसाठी, युवा, यूवा, संस्थेने, संस्थेनी, संस्थांना, मदतीचा, मदतीचे, केला, केली, केले, रुपयांची, रुपयाचे, रूपयांची, रूपयाचे, सभासदाला, सभासदास, महिलांनी, महीलांनी, तसेच, तसाच, गोठ्याची, गोठ्याचे, गोठ्याच्या, रुपयांची, रुपयांचे, दिलेले, दिलेंली, दिलेल्या, महिन्यांनंतर, महिन्यानंतर, वर्षाच्या, वर्षीच्या, वर्षाचे, यातूनच, यातुनच, सुरु, सूरु, आहेत, आहे, आहेस, कुटुंबामध्ये, कुटूंबामध्ये, कुटूंबामध्ये, पुरुषांच्या, पुरुषाच्या, पूरुषांच्या, कृषि, कृशि, पूरक, पुरक, नवीन, नवीण, व्यवसायाला, व्यवसायाचे, शिन्नर, सिन्नर, जीवनात, जिवनात, जिवणात, २०१५-१६, 2015-2016, दोन, हजार, पंधरा, सोळा, ५, पाच, 5, १२, बारा, 12, 10, दहा, १०","व्यक्ती, व्यक्ति, सामान्यत:, सामान्यता, व्यक्तीविषयी, व्यक्तिविषयी, कृती, कृति, कृतीविषयी, कृतिविषयी, असतात, असताता, असताती, असताते, त्यामुळे, यामुळे, त्यांच्याशी, त्यांच्याबरोबर, आपणांस, आपणास, प्रथम, प्रथमे, प्रमुख, यातून, त्यातून, तसे, तसेच, ग्रहणक्षमता, ग्रहण-क्षमता, कौशल्ये, कौशल्येही, शिक्षकांस, शिक्षकास, शिक्षकांना, शिक्षकाना, वापरावयाची, वापरायची, वापरावयाचा, वापरायचा, वापरावयाचे, वापरायचे, द्याव्यात, द्याव्या, व्यक्तीला, व्यक्तीस, असल्याने, असल्यामुळे, भिंतीच्या, जवळ, भिंतीजवळ, तिला, त्यानी, रितीने, रीतीने, रितिने, वा, किंवा, उदा, उदाहरणार्थ, पाऊले, पावले, पाउले, चिटकून, चिकटून, शिकविण्याची, शिकण्याची, सुरवात, सुरुवात, बेठ्या, बैठ्या, खेळातून, खेळांतून, निवडावेत, निवडावे, घ्यावेत, घ्यावे, खेळावेत, वेळेस, वेळेत, वेळेला, अशांच्या, अशाचा, गटापासून, गटातून, राहावयस, रहावयास, राहावयाला, रहावयाला, राहायला, रहायला, हवे, हवेत","यंत्रणेबद्दल, यंत्रणेचा, पातळीर्यत, पातळीवर, करावयास, करायला, वर्गातले, वर्गातील, पगार, पगारही, त्याच्यावर, त्याच्यावरच, त्यांच्यावर, त्यांच्यावरच, म्हणून, म्हणूनच, केंद्रीत, केंद्र, केंद्रित, त्यांच्यासाठी, त्यांच्याकरिता, गृहबांधणी, घरबांधणी, प्रयत्नशील, प्रयत्नात, बाबतीत, बाबतीतही, यायला, घ्यावयाला, घ्यावयास, हव्या, हव्यात, होणार, होणारच, मूलभूत, मुलभूत, मुलभुत, मूलभुत, भागविता, भागवता, याव्या, याव्यात, त्यासाठी, त्याकरिता, त्याकरीता, त्याकरता, करुन, करून, सर्व, सर्वच, चुकीचे, चुक, संपूर्ण, संपुर्ण, सम्पुर्ण, तसे, तसेच, तसेही, यंत्रणेत, यंत्रणेतही, पाच, दहा, ५, १०, 5, 10, अधिकाऱ्यात, अधिकाऱ्यातही, अधिकाऱ्यांत, अधिकाऱ्यांतही, काही, काहीही, नेहमी, नेहमीच","संपली, संपल्या, कॉलेजला, कॉलेजांना, सुही, सुह्या, लागली, लागल्‍या, कि, की, वाचनाचा, वाचनाचे, गावातील, गावातल्या, सुरु, सुरू, सुरुवात, सुरूवात, सुटी, सुट्टी, चुटपुट, चूटपूट, चुटपूट, चूटपुट, लागत, असे, लागे, लागते, विद्यार्थ्यांना, विद्यार्थ्यांला, विद्यार्थ्याना, विद्यार्थ्याला, परिक्षा, परीक्षा, कॅसेट, कॅसेटस, कॅसेटस, आज, आजही, दिसतात, दिसतातच, दूरदर्शन, दुरदर्शन, व्हिडीओ, व्हीडीओ, व्हीडिओ, व्हिडिओ, कारणीभूत, कारणीभुत, कारण, म्हणजे, म्हणजेच, मिळवणे, मिळ‍विणे, पचवणे, पचविणे, त्यांतील, त्यातील, पाहतांना, पाहताना, नाही, नाहीत, विषयावर, विषयांवर, कुणी, कोणी, करीत, करीतच, घ्यावे, घ्यावेत, प्रथमत:, प्रथमता, वडिल, वडीलाच, वडिलधारी, वडीलधांरी, वडीलधारी, वडिलधारी, माहित, माहीत, मूल, मुल, धरणार, धरणारच, करुन, करून, महत्त्वाचे, महत्वाचे, महत्त्वाचा, महत्त्वाची, महत्वाचा, महत्वाची, महत्वाचे, सुरुवातीस, सुरुवातीला, सुरुवातीस, सुरुवात, सुरुवतीत, सुरूवात, सुरूवातीस, सुरूवातीला","साहीत्य, साहित्य, परंपरेला, परंपरेस, दिडशे, १५०, 150, वर्ष, वर्षे, आहे, आहेत, संमेलन, सम्मेलन, संमेलनही, सम्मेलनही, भाषेत, भाषांत, भाषात, वा, किंवा, कृतिशीलतेने, नविनतेल, नाविण्यतेत, नाविण्यतेत, या, याच, पोसल्या, पोहोचल्या, भक्ती, भक्ति, सोबत, सोबतच, आध्यात्मिक, आध्यात्म, घडविला, घडवला, घडला, बसवायचे, बसवावयांचे, दाखविल्या, दाखवल्या, तीच, ती, तिच, चालवित, चालवत, चलवीत, व्यावहरीक, व्यावहारिक, संसारिक, सांसरिक, सांसारिक, सांसारीक, शाहिरी, शाहीरी, एकाच, एका, वेळी, वेळेस, वीररस, विररस, लौकिक, लौकीक, अनुभवांना, अनुभव, कित्ता, किता, कीत्ता, परंपरेतूनच, परंपरेतून, परंपरेतुन, पंरपरेतुनच, नाविन्या, नावीन्य, नाविण्य, नावीण्य, शाधायची, शोधायचे, डावं, उजवं, डावे, उजवे, डावेउजवे"
